,precision,recall,f1-score,support,Labels
0,0.8888888888888888,0.8,0.8421052631578948,20.0,Bark
1,0.5625,0.9,0.6923076923076923,20.0,Meow
2,0.85,0.85,0.85,20.0,Siren
3,1.0,0.6,0.7499999999999999,20.0,Shatter
4,0.7647058823529411,0.65,0.7027027027027027,20.0,Knock
5,0.6842105263157895,0.65,0.6666666666666667,20.0,Crying_and_sobbing
6,0.875,0.7,0.7777777777777777,20.0,Microwave_oven
7,0.85,0.85,0.85,20.0,Vehicle_horn_and_car_horn_and_honking
8,0.7307692307692307,0.95,0.8260869565217392,20.0,Doorbell
9,0.55,0.55,0.55,20.0,Walk_and_footsteps
accuracy,0.75,0.75,0.75,0.75,accuracy
macro avg,0.7756074528326851,0.75,0.7507647059134473,200.0,macro avg
weighted avg,0.7756074528326851,0.75,0.7507647059134475,200.0,weighted avg
